location,date,ave_temperature,max_temperature
708,2013-03-18,10.5,14.8
708,2013-03-19,13,20.2
708,2013-03-20,6,13.4
708,2013-03-21,3.1,11.7
708,2013-03-22,5.3,13.4
708,2013-03-23,7.6,17.7
708,2013-03-24,5.6,12.5
708,2013-03-25,3.8,8.9
708,2013-03-26,6.2,15.8
708,2013-03-27,9.4,19.3
708,2013-03-28,8.9,20.3
708,2013-03-29,7.3,15
708,2013-03-30,7.9,16.8
708,2013-03-31,8.5,16.3
708,2013-04-01,10.2,20.5
708,2013-04-02,6.6,9.6
708,2013-04-03,9.9,18.9
708,2013-04-04,13.4,23.9
708,2013-04-05,14.1,21.7
708,2013-04-06,8.1,13.7
708,2013-04-07,4.4,9.3
708,2013-04-08,6.8,17.6
708,2013-04-09,9.3,15.2
708,2013-04-10,5.2,11.6
708,2013-04-11,7.5,14.8
708,2013-04-12,6.5,14.1
708,2013-04-13,11,21.6
708,2013-04-14,10.9,19.1
708,2013-04-15,10.7,22
708,2013-04-16,18.2,25.9
708,2013-04-17,17.4,23.3
708,2013-04-18,12.8,19.8
708,2013-04-19,10.3,19.1
708,2013-04-20,6.7,9.2
708,2013-04-21,9.5,16.6
708,2013-04-22,11.2,21.2
708,2013-04-23,11.4,14.9
708,2013-04-24,12.6,19.2
708,2013-04-25,8.9,14.7
708,2013-04-26,11.1,19.3
708,2013-04-27,11.1,20.7
708,2013-04-28,16.4,24.7
708,2013-04-29,14.5,20.3
708,2013-04-30,12.4,22.7
708,2013-05-01,12,19.9
708,2013-05-02,12.5,20.8
708,2013-05-03,12.3,22.5
708,2013-05-04,14.7,22.8
708,2013-05-05,14.5,25.9
708,2013-05-06,15.6,26.1
708,2013-05-07,16.7,27.6
708,2013-05-08,18.1,29.2
708,2013-05-09,17.6,23.9
708,2013-05-10,14.7,19.2
708,2013-05-11,18,27.1
708,2013-05-12,19.7,27.3
708,2013-05-13,19.7,29.5
708,2013-05-14,19.4,29
708,2013-05-15,20.1,28.4
708,2013-05-16,19.9,29.1
708,2013-05-17,18,27.1
708,2013-05-18,18.4,26.8
708,2013-05-19,17.2,21.5
708,2013-05-20,16.1,20.7
708,2013-05-21,17.7,29.2
